snapshot_ts_ms,side,price,size
1779637301627,bid,0.023,527
1779637301627,bid,0.021,50851.94
1779637301627,bid,0.02,129403.98
1779637301627,bid,0.018,1219
1779637301627,bid,0.017,6150.32
1779637301627,bid,0.016,1131.43
1779637301627,bid,0.014,2188.69
1779637301627,ask,0.024,1412.97
1779637301627,ask,0.025,1063.67
1779637301627,ask,0.03,9199
1779637301627,ask,0.035,5000
1779637301627,ask,0.037,2031
1779637301627,ask,0.038,4433.56
1779637301627,ask,0.039,3427.27
1779637301627,ask,0.055,519.24
1779637301627,ask,0.28,2388.7
1779637301627,ask,0.65,5329.66
1779637301627,ask,0.89,8453
1779637301627,ask,0.9,147810
1779637301627,ask,0.977,25
1779637338897,bid,0.023,527
1779637338897,bid,0.021,50851.94
1779637338897,bid,0.02,129403.98
1779637338897,bid,0.018,1219
1779637338897,bid,0.017,6150.32
1779637338897,bid,0.016,1131.43
1779637338897,bid,0.014,2188.69
1779637338897,ask,0.024,1412.97
1779637338897,ask,0.025,1063.67
1779637338897,ask,0.03,9199
1779637338897,ask,0.035,5000
1779637338897,ask,0.036,6022
1779637338897,ask,0.037,2531
1779637338897,ask,0.038,4363.37
1779637338897,ask,0.039,2900
1779637338897,ask,0.055,519.24
1779637338897,ask,0.28,2388.7
1779637338897,ask,0.65,5329.66
1779637338897,ask,0.89,8453
1779637338897,ask,0.9,147810
1779637338897,ask,0.977,25
1779637367065,bid,0.023,527
1779637367065,bid,0.021,50851.94
1779637367065,bid,0.02,129403.98
1779637367065,bid,0.018,1219
1779637367065,bid,0.017,6150.32
1779637367065,bid,0.016,1131.43
1779637367065,bid,0.014,2188.69
1779637367065,ask,0.024,1444.77
1779637367065,ask,0.025,1063.67
1779637367065,ask,0.03,9199
1779637367065,ask,0.035,5000
1779637367065,ask,0.036,6022
1779637367065,ask,0.037,2531
1779637367065,ask,0.038,4363.37
1779637367065,ask,0.039,2900
1779637367065,ask,0.055,519.24
1779637367065,ask,0.28,2388.7
1779637367065,ask,0.65,5329.66
1779637367065,ask,0.89,8453
1779637367065,ask,0.9,147810
1779637367065,ask,0.977,25
1779637389161,bid,0.023,527
1779637389161,bid,0.021,50851.94
1779637389161,bid,0.02,129403.98
1779637389161,bid,0.018,1219
1779637389161,bid,0.017,6150.32
1779637389161,bid,0.016,1131.43
1779637389161,bid,0.014,2188.69
1779637389161,ask,0.024,1496.07
1779637389161,ask,0.025,1063.67
1779637389161,ask,0.03,9199
1779637389161,ask,0.035,5000
1779637389161,ask,0.036,6022
1779637389161,ask,0.037,2531
1779637389161,ask,0.038,4363.37
1779637389161,ask,0.039,2900
1779637389161,ask,0.055,519.24
1779637389161,ask,0.28,2388.7
1779637389161,ask,0.65,5329.66
1779637389161,ask,0.89,8453
1779637389161,ask,0.9,147810
1779637424596,bid,0.023,527
1779637424596,bid,0.021,50851.94
1779637424596,bid,0.02,129403.98
1779637424596,bid,0.018,1219
1779637424596,bid,0.017,6150.32
1779637424596,bid,0.016,1131.43
1779637424596,bid,0.014,2188.69
1779637424596,ask,0.024,1496.07
